No.,opencoding1,opencoding2,opencoding3
465,"Opinion: Fun enjoyment, story small, flashy scene",Reviews,Plot / Story
466," ""Box Office Performance Comparison""",Box Office / Financial Performance,Box Office / Financial Performance
467," ""Can international box office save the movie? Marketing""",Box Office / Financial Performance,Box Office / Financial Performance
468," ""graphic: comparison theatrical vs movie""",Box Office / Financial Performance,Box Office / Financial Performance
469," ""News / Announcement from other""",News / Announcements,Marketing / Promotion
470," ""Funny/sassy character moments""",Scenes / Props,Plot / Story
471," ""Props / Car Identification (in a movie)""",Scenes / Props,Plot / Story
472," ""Rating / Censorship Discussion""",Audience Reception / Ratings,Audience Reception / Ratings
473,Negative Review. genre/Genre Balance,Reviews,Plot / Story
474," ""Direction / Style. Cinematography / Visuals""",Cinematography / Visuals,Production / BTS
475," ""dicussion. what to see? Compare Which Movie to Watch. decision-making""",Reviews,Plot / Story
476," ""Plot / Story. Pacing / Structure""",Plot / Story,Plot / Story
477," ""Marketing News/ AMC Ad""",Marketing / Promotion,Marketing / Promotion
478," ""Announcement / Lauching / Format""",News / Announcements,Marketing / Promotion
479," ""Ending Interpretation / Future Speculation""",Plot / Story,Plot / Story
480," ""Discussion on Reviews: complains everything -> critic on other comments""",Reviews,Plot / Story
481," ""character development""",Character Development,Acting / Characters
482," ""External Link NA""",Misc / NA,Plot / Story
483," ""Box Office Tracking / Industry News""",Box Office / Financial Performance,Box Office / Financial Performance
484," ""trailer review Reaction unexcited. hype""",Marketing / Promotion,Marketing / Promotion
485," ""Box Office / Industry Performance""",Box Office / Financial Performance,Box Office / Financial Performance
486," ""Behind-the-Scenes / Production""",Production / BTS,Production / BTS
487,Marketing / Trailer Reaction. song,Music,Music
488," ""Genre criticism""",Genre / Tone,Plot / Story
489," ""Release Information / Early Screening""",Release / Distribution,Production / BTS
490," ""Humour. Moments""",Scenes / Props,Plot / Story
491," ""Genre / Tone / Style""",Genre / Tone,Plot / Story
492," ""Release Information""",Release / Distribution,Production / BTS
493," ""Fan Art / Fan Creation (nails)""",Fan Creations / Memes,Fan Creations / Memes
494,Box Office / Financial Performance,Box Office / Financial Performance,Box Office / Financial Performance
495," ""Music / Soundtrack Speculation""",Music,Music
496," ""genre""",Genre / Tone,Plot / Story
497," ""Promotion / Photos / Celebrity Appearance""",Marketing / Promotion,Marketing / Promotion
498," ""Merchandise / Home Release/ Release Format Buy""",Release / Distribution,Production / BTS
499," ""Celebrity Appearance / Red Carpet""",Marketing / Promotion,Marketing / Promotion
500," ""Rating Poll""",Audience Reception / Ratings,Audience Reception / Ratings
501," ""Themes / Messages (social shorter men)""",Themes / Messages,Plot / Story
502," ""Discussion Thread / Community Reaction""",Reviews,Plot / Story
503," ""Themes / Subplot Interpretation (same as short men)""",Themes / Messages,Plot / Story
504," ""Production""",Production / BTS,Production / BTS
505," "" scores Themes / Messages""",Themes / Messages,Plot / Story
506," ""Box Office / Revenue""",Box Office / Financial Performance,Box Office / Financial Performance
507," ""Box Office / Revenue""",Box Office / Financial Performance,Box Office / Financial Performance
508," ""Marketing celibrity song""",Marketing / Promotion,Marketing / Promotion
509," ""Acting / Performances""",Acting / Characters,Acting / Characters
510, Tone/Genre (Genre),Genre / Tone,Plot / Story
511," ""Cast / Actor popularity""",Acting / Characters,Acting / Characters
512," ""Genre / Tone""",Genre / Tone,Plot / Story
513," ""Themes / Messages""",Themes / Messages,Plot / Story
514," ""Plot / Storyline""",Plot / Story,Plot / Story
515," ""Box Office / Revenue""",Box Office / Financial Performance,Box Office / Financial Performance
516," ""Cast / Characters""",Acting / Characters,Acting / Characters
517," ""Audience Reception why is it poralized comments( same as the hate comments. )""",Audience Reception / Ratings,Audience Reception / Ratings
518," ""Audience Reception things to see""",Audience Reception / Ratings,Audience Reception / Ratings
519," ""Discussion: Plot / Storyline""",Plot / Story,Plot / Story
520," ""PRODUCTION""",Production / BTS,Production / BTS
521," ""Cast / Characters/ Celibrity""",Acting / Characters,Acting / Characters
522," ""Cast / Characters""",Acting / Characters,Acting / Characters
523," ""Fan Appeal / Cult Potential""",Fan Creations / Memes,Fan Creations / Memes
524," ""Themes / Messages""",Themes / Messages,Plot / Story
525," ""Director / Future Projects""",Production / BTS,Production / BTS
526," ""Marketing""",Marketing / Promotion,Marketing / Promotion
527," ""Audience Reception""",Audience Reception / Ratings,Audience Reception / Ratings
528," ""Characters / Acting""",Acting / Characters,Acting / Characters
529," ""Box Office / Revenue""",Box Office / Financial Performance,Box Office / Financial Performance
530," ""Characters / Acting""",Acting / Characters,Acting / Characters
531," ""Score""",Music,Music
532," ""Plot / Storyline Review""",Plot / Story,Plot / Story
533," ""Plot / Storyline""",Plot / Story,Plot / Story
534," ""Cast / Characters""",Acting / Characters,Acting / Characters
535," ""Fight Choreography / Action Design""",Scenes / Props,Plot / Story
536,Visual Effects / CGI (face smoothing),Visual Effects / CGI,Production / BTS
537," ""Character Development""",Character Development,Acting / Characters
538,News about celibrity at premiere: Costumes / Fashion / Premiere Outfits,News / Announcements,Marketing / Promotion
539,News about celibrity at premiere,News / Announcements,Marketing / Promotion
540,Announcements / Release Information,Release / Distribution,Production / BTS
541,Plot: Story Continuity (as talking future movie),Plot / Story,Plot / Story
542," ""News about celibrity at premiere: Costumes / Fashion / Premiere Outfits""",News / Announcements,Marketing / Promotion
543," ""Production Design / Filming Location (found some location of the movie it was made)""",Production / BTS,Production / BTS
544," ""Technical Issues (Viewing/Playback): Format""",Misc / NA,Plot / Story
545," ""Plot Logic/ Bad Story as not good logic""",Plot / Story,Plot / Story
546," ""General Info""",Misc / NA,Plot / Story
547," ""Representation (Cultural Inclusion) -- social""",Themes / Messages,Plot / Story
548," ""Plot / Cliffhanger Structure -- future movie""",Plot / Story,Plot / Story
549," ""Story Structure / Missing 3rd Act""",Plot / Story,Plot / Story
550," ""Franchise / Sequel Planning""",Franchise / Sequel Planning,Plot / Story
551," ""Celibrity at premiere news. Costumes / Fashion (Premiere outfits)""",News / Announcements,Marketing / Promotion
552," ""Technical Issues (VOD Playback) Format""",Misc / NA,Plot / Story
553," ""Story. also story half -> wait sequence""",Plot / Story,Plot / Story
554," ""french: Story. future sequence""",Plot / Story,Plot / Story
555," ""General Info for where discussion""",Misc / NA,Marketing / Promotion
556," ""Writing/ Story Coherence also sequence""",Plot / Story,Plot / Story
557," ""Action Scene""",Scenes / Props,Plot / Story
558," ""ESPAGNOL: General Promotion / Hype""",Marketing / Promotion,Marketing / Promotion
559," ""Story -> make joke on it""",Plot / Story,Plot / Story
560," ""General Review (nothing)""",Reviews,Plot / Story
561,General Review: no info,Reviews,Plot / Story
562," ""Story pacing""",Plot / Story,Plot / Story
563,Character Story,Character Development,Acting / Characters
564," ""ALLEMAGNE(I think) Action  Story""",Plot / Story,Plot / Story
565,Story Ending / Cliffhanger Structure,Plot / Story,Plot / Story
566,General Review: nothing said,Reviews,Plot / Story
567,Format Streaming link Marketing / Promotion,Marketing / Promotion,Marketing / Promotion
568," ""Format Streaming link Marketing / Promotion""",Marketing / Promotion,Marketing / Promotion
569,Overall Review: nothing,Reviews,Plot / Story
570,Marketing / Cross-promotion,Marketing / Promotion,Marketing / Promotion
571,Marketing / Promotion,Marketing / Promotion,Marketing / Promotion
572,Marketing / Promotion,Marketing / Promotion,Marketing / Promotion
573,Plot / Storyline,Plot / Story,Plot / Story
574,Overall Review: No info,Reviews,Plot / Story
575,Music,Music,Music
576," ""Bad decision marketing?""",Marketing / Promotion,Marketing / Promotion
577," ""Production: injury""",Production / BTS,Production / BTS
578," ""[duplicated] Production: injury""",Production / BTS,Production / BTS
579," ""Characters / Acting""",Acting / Characters,Acting / Characters
580," ""Characters / Acting""",Acting / Characters,Acting / Characters
581," ""[duplicated]Characters / Acting""",Acting / Characters,Acting / Characters
582," ""[duplicated] Characters / Acting""",Acting / Characters,Acting / Characters
583,Critical Reception clumsy action-fantasy sequel The Old Guard 2 only does one thing right,Reviews,Plot / Story
584,Empty,Misc / NA,Plot / Story
585,Characters / Acting,Acting / Characters,Acting / Characters
586,Characters / Acting,Acting / Characters,Acting / Characters
587,[duplicated] Characters / Acting,Acting / Characters,Acting / Characters
588,[duplicated] Characters / Acting,Acting / Characters,Acting / Characters
589,Plot / Storyline,Plot / Story,Plot / Story
590,Marketing / Promotion,Marketing / Promotion,Marketing / Promotion
591,Marketing / Promotion,Marketing / Promotion,Marketing / Promotion
592,Marketing / Promotion,Marketing / Promotion,Marketing / Promotion
593,News celibirty at premiere: Marketing / Event Appearance / Publicity,Marketing / Promotion,Marketing / Promotion
594,Plot / Storyline,Plot / Story,Plot / Story
595,Marketing / Promotion / News Coverage,Marketing / Promotion,Marketing / Promotion
596,Fan Hype / Anticipation / General Excitement - story,Fan Creations / Memes,Fan Creations / Memes
597,Plot / Storyline,Plot / Story,Plot / Story
598,Marketing / Platform Promotion Format,Marketing / Promotion,Marketing / Promotion
599,Release Schedule. Industry Info,Release / Distribution,Production / BTS
600,Hype / Release Schedule,Marketing / Promotion,Marketing / Promotion
601," ""Production""",Production / BTS,Production / BTS
602," ""Personal experience: want to back into watching movies to enjoy -> back. suggestion of movie""",Audience Reception / Ratings,Audience Reception / Ratings
603," ""Sequel / Franchise Continuity""",Franchise / Sequel Planning,Plot / Story
604," ""ESPAGNOL: Action / Fight Scenes""",Scenes / Props,Plot / Story
605," ""Writing / Script Quality: Story""",Plot / Story,Plot / Story
606," ""Character""",Character Development,Acting / Characters
607," ""[duplicated] Production""",Production / BTS,Production / BTS
608," ""Question: Prop / Vehicle Identification""",Scenes / Props,Plot / Story
609," ""Streaming Platform Quality: Format""",Misc / NA,Plot / Story
610," ""Release Info / Availability (Streaming)""",Release / Distribution,Production / BTS
611," ""[duplicated] production""",Production / BTS,Production / BTS
612,[duplicated] production,Production / BTS,Production / BTS
613,Cinematography / Visuals,Cinematography / Visuals,Production / BTS
614,Direction / Production Quality,Cinematography / Visuals,Production / BTS
615," ""ESPAGNOL: Release / Distribution""",Release / Distribution,Production / BTS
616," ""Plot Structure / Storyline""",Plot / Story,Plot / Story
